link,gambar,nama_produk,harga,diskon,rating,kota,deskripsi,content,cluster,label,panjang_deskripsi,harga_diskon
https://shopee.co.id/Madu-Uray-Grade-A-875gr-Royal-Jelly-Bee-Pollen-i.65323877.2901830110,https://down-id.img.susercontent.com/file/id-11134201-7rasc-m280bgdj1drtcb_tn.webp,Madu Uray Grade A+ 875gr Royal Jelly & Bee Pollen,14240,15.0,4.9,SURABAYA,"Madu favorit Anda, minuman kesehatan alami sekaligus obat herbal Madu Uray Grade A+ Natural Honey 875gr, kini hadir dengan kemasan baru berlogo Uray emboss, hologram batik Kalimantan, dan perlindungan anti-pemalsuan ganda SECQURE, serta kualitas yang lebih baik dengan penambahan Royal Jelly dan Bee Pollen, namun tetap dengan harga yang sama. Suplemen kesehatan ini cocok dikonsumsi 1-2 sendok makan saat perut kosong, pagi dan siang, sebagai penyempurna asupan vitamin, mineral, dan enzim harian, dan seluruh produk Madu Uray diuji berkala sesuai parameter SNI. Perlu diperhatikan bahwa produk lebah ini dan produk lebah lainnya tidak boleh diberikan kepada bayi di bawah 12 bulan",madu uray grade a 875gr royal jelly bee pollen madu favorit minum sehat alami obat herbal madu uray grade a natural honey 875gr hadir kemas logo uray emboss hologram batik kalimantan lindung antipemalsuan ganda secqure kualitas tambah royal jelly bee pollen harga suplemen sehat cocok konsumsi 12 sendok makan perut kosong pagi siang sempurna asupan vitamin mineral enzim hari produk madu uray uji kala sesuai parameter sni perhati produk lebah produk lebah bayi 12,7,Bahan Masakan Instan,101,12104.0
https://shopee.co.id/Kurma-Sukari-King-Dates-Sukkari-1-Kg-Lembut-Manis-Legit-Premium-Original-High-Quality-i.138827180.10679037471,https://down-id.img.susercontent.com/file/id-11134207-7r98p-lqva2zc19ty1fb_tn.webp,Kurma Sukari King Dates Sukkari 1 Kg Lembut Manis Legit Premium Original High Quality,5900,31.0,4.8,BOGOR,"Makanan ringan sehat buah Kurma Sukkari Al Qassim dengan kemasan ember baru 1KG yang lebih kokoh, menjaga kualitas dan tahan lama, serta mudah dibawa. Kurma yang juga dikenal sebagai Kurma Raja dan diproduksi di provinsi Al-Qasiim ini memiliki banyak manfaat, diantaranya membantu mengurangi tekanan darah, meningkatkan sistem kekebalan tubuh, mengeluarkan racun dalam organ pencernaan, mengendalikan gula darah, menurunkan kolesterol, bahkan mencegah kanker usus, serta kandungan gula alaminya aman bagi penderita diabetes dan membantu pertumbuhan tulang. Camilan manis alami ini sangat baik untuk dikonsumsi sehari-hari",kurma sukar king dates sukkari 1 kg lembut manis legit premium original high quality makan ringan sehat buah kurma sukkari al qassim kemas ember 1kg kokoh jaga kualitas tahan mudah bawa kurma kenal kurma raja produksi provinsi alqasiim milik manfaat bantu kurang tekan darah tingkat sistem kebal tubuh keluar racun organ cerna kendali gula darah turun kolesterol cegah kanker usus kandung gula alami aman derita diabetes bantu tumbuh tulang camil manis alami konsumsi seharihari,7,Bahan Masakan Instan,84,4071.0
https://shopee.co.id/Dari-Bumi-Madu-Murni-Akasia-650-Gr-Raw-Honey-Asli-i.287955161.9890063067,https://down-id.img.susercontent.com/file/id-11134207-7rash-m5wd1gviswrsca_tn.webp,Dari Bumi Madu Murni Akasia 650 Gr Raw Honey Asli,5790,50.0,4.9,JAKARTA BARAT,"Minuman kesehatan alami madu murni Akasia Dari Bumi 650 Gr (obat herbal alami) yang diambil dari nektar bunga Acacia mangium dan dipanen dari sarang lebah jenis Apis mellifera di Madura. Diproses secara higienis tanpa tambahan bahan perasa dan pengawet. Madu Akasia ini adalah salah satu superfood terbaik dengan kandungan antioksidan tinggi, antibakteri, mendukung program diet dan kesehatan kulit, serta mencegah penyakit kronis. Dapat dikonsumsi langsung atau dicampur ke makanan dan minuman favorit. Berat Bersih: 650 g, Masa Simpan: 24 bulan. Ayo buat video unboxing paketmu untuk memudahkan klaim komplain",bumi madu murni akasia 650 gr raw honey asli minum sehat alami madu murni akasia bumi 650 gr obat herbal alami ambil nektar bunga acacia mangium panen sarang lebah jenis apis mellifera madura proses higienis tambah bahan asa awet madu akasia salah superfood baik kandung antioksidan antibakteri dukung program diet sehat kulit cegah sakit kronis konsumsi langsung campur makan minum favorit berat bersih 650 g simpan 24 ayo video unboxing paket mudah klaim komplain,7,Bahan Masakan Instan,89,2895.0
https://shopee.co.id/CAP-IBU-Bumbu-Nasi-Goreng-Kecap-i.35326436.573589765,https://down-id.img.susercontent.com/file/id-11134207-7r98x-lq4kxkmq9x5q86_tn.webp,CAP IBU Bumbu Nasi Goreng Kecap,3800,5.0,4.9,JAKARTA TIMUR,"Bumbu masakan instan Bumbu Nasi Goreng Kecap Cap Ibu netto 210g (untuk 5 porsi). Terbuat dari komposisi cabai, bawang merah, kecap manis, bawang putih, minyak kelapa sawit, garam, kemiri, penguat rasa mononatrium glutamat, rempah-rempah, terasi udang, pengawet (kalium sorbat, natrium benzoat), pengatur keasaman asam sitrat. Cara memasak: panaskan minyak, orak-arik telur dan bahan lain, masukkan nasi dan bumbu, aduk rata, masak hingga matang. Nikmati bumbu praktis untuk makanan nasi goreng lezat",cap bumbu nasi goreng kecap bumbu masakan instan bumbu nasi goreng kecap cap netto 210g 5 porsi buat komposisi cabai bawang merah kecap manis bawang putih minyak kelapa sawit garam kemiri kuat mononatrium glutamat rempahrempah terasi udang awet kalium sorbat natrium benzoat atur asam asam sitrat masak panas minyak orakarik telur bahan masuk nasi bumbu aduk masak matang nikmat bumbu praktis makan nasi goreng lezat,0,Produk Olahan Daging,71,3610.0
https://shopee.co.id/Pronas-Luncheon-Sapi-(Daging-Blok-Serbaguna)-340-gr-i.262869574.7834446724,https://down-id.img.susercontent.com/file/id-11134207-7r98r-lpq083pwgeofb1_tn.webp,Pronas Luncheon Sapi (Daging Blok Serbaguna) 340 gr,4440,15.0,4.9,BEKASI,"Pronas Luncheon Sapi (Daging Blok Serbaguna) 340 g adalah produk daging olahan serbaguna yang terbuat dari 100% daging sapi terpilih. Praktis, bergizi, dan halal, cocok untuk sarapan pagi atau sebagai snack. Dikemas dalam kaleng EOE (easy open end) yang mudah dibuka. Setelah dibuka, simpan dalam wadah kedap udara di lemari es. Komposisi: air, daging sapi, minyak kelapa sawit, pati jagung (mengandung pengawet sulfit), protein kedelai, bumbu-bumbu (mengandung penguat rasa msg dan antioksidan asam askorbat, lada), garam, penguat rasa (msg, inositat, guanilat), karagenan, fosfat. Nikmati lauk praktis dan lezat ini",pronas luncheon sapi daging blok serbaguna 340 gr pronas luncheon sapi daging blok serbaguna 340 g produk daging olah serbaguna buat 100 daging sapi pilih praktis gizi halal cocok sarap pagi snack kemas kaleng eoe easy open end mudah buka buka simpan wadah kedap udara lemari es komposisi air daging sapi minyak kelapa sawit pati jagung kandung awet sulfit protein kedelai bumbubumbu kandung kuat msg antioksidan asam askorbat lada garam kuat msg inositat guanilat karagen fosfat nikmat lauk praktis lezat,0,Produk Olahan Daging,89,3774.0
https://shopee.co.id/TWG-Happy-Birthday-Tea-(Gift-Sets)-Teh-TWG-i.105134374.4904405209,https://down-id.img.susercontent.com/file/sg-11134201-23020-se2f9tktz2mvd4_tn.webp,TWG Happy Birthday Tea (Gift Sets) - Teh TWG,80000,0.0,5.0,JAKARTA SELATAN,"TWG - Happy Birthday Tea (Gift Sets) adalah minuman teh berkelas dari TWG, termasuk dalam kategori teh hitam dan exclusive tea blends dengan berat bersih 100g. Racikan teh hitam lembut ini diproses khusus dengan perpaduan rasa manis buah beri merah dan sentuhan vanilla, menciptakan rasa nikmat yang membangkitkan bahagia. TWG, merek teh mewah asal Singapura yang hadir sejak 2008, berdedikasi menciptakan racikan teh terbaik dari perkebunan berkualitas tinggi. Happy Birthday Tea sangat cocok sebagai hadiah atau untuk minuman jamuan teh di rumah maupun komersial. Nikmati pengalaman seduh teh mewah ini dengan teko atau saringan teh",twg happy birthday tea gift sets teh twg twg happy birthday tea gift sets minum teh kelas twg kategori teh hitam exclusive tea blends berat bersih 100g racik teh hitam lembut proses khusus padu manis buah merah sentuh vanilla cipta nikmat bangkit bahagia twg merek teh mewah singapura hadir 2008 dedikasi cipta racik teh baik kebun kualitas happy birthday tea cocok hadiah minum jamu teh rumah komersial nikmat alam seduh teh mewah teko saring teh,1,Minuman Teh & Sirup,95,80000.0
https://shopee.co.id/Diamond-Milk-UHT-Full-Cream-1-Liter-Susu-i.381813277.10201508979,https://down-id.img.susercontent.com/file/id-11134201-7r98r-lpuix425jsha80_tn.webp,Diamond Milk UHT Full Cream 1 Liter - Susu,19990,22.0,4.9,PONTIANAK,"Susu UHT Diamond adalah minuman susu yang dibuat dengan susu sapi segar, diproses dengan teknologi UHT, dan dikemas secara aseptis dalam kemasan kedap udara, sehingga mutu dan kandungan gizinya tetap terjaga. Produk susu UHT ini cocok sebagai minuman sehari-hari untuk keluarga",diamond milk uht full cream 1 liter susu susu uht diamond minum susu susu sapi segar proses teknologi uht kemas aseptis kemas kedap udara mutu kandung gizi jaga produk susu uht cocok minum seharihari keluarga,2,Makanan & Minuman Sehari-hari,41,15592.2
https://shopee.co.id/-Bundle-Pack-Isi-3-Nabati-Wafer-Pink-Lava-122g-i.64601228.25034615877,https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m941cm3oq77x81_tn.webp,[Bundle Pack Isi 3] Nabati Wafer Pink Lava 122g,178890,33.0,5.0,JAKARTA TIMUR,"Nabati Wafer Pink Lava 122g (isi 3 pcs) adalah makanan ringan berupa wafer renyah dengan krim Pink Lava yang manis dan unik. Camilan manis ini sangat cocok bagi Anda yang menyukai rasa manis yang berbeda. Nikmati Nabati Wafer Pink Lava sebagai teman setia saat bekerja, bersantai, atau sebagai sajian istimewa dalam acara kumpul bersama teman-teman. Kemasannya yang praktis cocok untuk menemani Anda di segala suasana",bundle pack isi 3 nabati wafer pink lava 122g nabati wafer pink lava 122g isi 3 pcs makan ringan wafer renyah krim pink lava manis unik camil manis cocok suka manis beda nikmat nabati wafer pink lava teman setia santa saji istimewa acara kumpul temanteman kemas praktis cocok tani suasana,5,Camilan Ringan,65,119856.3
https://shopee.co.id/Sedaap-Mie-Instan-Cup-Soto-81-gr-i.64474495.6930120745,https://down-id.img.susercontent.com/file/e2f947eb63a7e354608eed6ea8286d04_tn.webp,Sedaap Mie Instan Cup Soto 81 gr,500,57.0,4.9,SEMARANG,"Mie Instant kuah dalam kemasan Cup yang Praktis dan Nikmat adalah kategori makanan instan, khususnya mie instan kuah. Dengan mie yang kenyal, tidak gampang mengembang dan topping komplit, makanan siap saji ini cocok dimakan kapan saja dan di mana saja. Sedaapnya Makin Juara! Cara penyajian: buka tutup, tuang bumbu dan bahan lain, tuangkan 350 ml air panas, tutup dan tunggu 4 menit, tuang bubuk koya dan siap dinikmati. Isi kemasan: 81 Gr. Keunggulannya adalah mie kenyal, tidak gampang mengembang, dilengkapi dengan serbuk KOYA GURIH yang berpadu dengan AROMA JERUK LIMAU yang segar. Rasa Sotonya Juara",sedaap mie instan cup soto 81 gr mie instant kuah kemas cup praktis nikmat kategori makan instan mie instan kuah mie kenyal gampang kembang topping komplit makan saji cocok makan sedaapnya juara saji buka tutup tuang bumbu bahan tuang 350 ml air panas tutup tunggu 4 menit tuang bubuk koya nikmat isi kemas 81 gr unggul mie kenyal gampang kembang lengkap serbuk koya gurih padu aroma jeruk limau segar soto juara,2,Makanan & Minuman Sehari-hari,95,215.0
https://shopee.co.id/Curcuma-Plus-Susu-Bubuk-Ekstrak-Temulawak-Coklat-350gr-i.161143541.7304772141,https://down-id.img.susercontent.com/file/id-11134207-7r98t-ltqigbyktg6235_tn.webp,Curcuma Plus Susu Bubuk Ekstrak Temulawak Coklat 350gr,741840,5.0,4.9,SURABAYA,"Susu Curcuma Plus adalah minuman susu bubuk pertumbuhan untuk anak usia 1-6 tahun. Sebagai nutrisi anak, susu ini mengandung nutrisi lengkap untuk mendukung tumbuh kembang anak, daya tahan tubuh, dan nafsu makan. Dilengkapi dengan Curcunutri (ekstrak temulawak organik), minyak ikan (DHA), multivitamin, dan mineral. Kandungan utamanya adalah susu full cream New Zealand, ekstrak temulawak organik, minyak ikan, protein, karbohidrat, lemak, inulin & FOS, 11 vitamin, 6 mineral, dan kolin. Keunggulannya mengandung bahan alami organik, termasuk temulawak organik bersertifikat, serta kombinasi susu New Zealand lezat dan zat gizi penting. Saran penyajian: campurkan 4 sendok makan (35 gr) ke dalam 1 gelas (180 ml) air hangat, konsumsi minimal 2 gelas sehari. Tersedia dalam varian rasa Madu, Vanilla, Coklat, dan Strawberry. Produk ini termasuk kategori susu pertumbuhan dan suplemen anak",curcuma plus susu bubuk ekstrak temulawak coklat 350gr susu curcuma plus minum susu bubuk tumbuh anak usia 16 nutrisi anak susu kandung nutrisi lengkap dukung tumbuh kembang anak daya tahan tubuh nafsu makan lengkap curcunutri ekstrak temulawak organik minyak ikan dha multivitamin mineral kandung utama susu full cream new zealand ekstrak temulawak organik minyak ikan protein karbohidrat lemak inulin fos 11 vitamin 6 mineral kolin unggul kandung bahan alami organik temulawak organik sertifikat kombinasi susu new zealand lezat zat gizi saran saji campur 4 sendok makan 35 gr 1 gelas 180 ml air hangat konsumsi minimal 2 gelas hari sedia varian madu vanilla coklat strawberry produk kategori susu tumbuh suplemen anak,2,Makanan & Minuman Sehari-hari,127,704748.0
