link,gambar,nama_produk,harga,diskon,rating,kota,deskripsi
https://shopee.co.id/Madu-Uray-Grade-A-875gr-Royal-Jelly-Bee-Pollen-i.65323877.2901830110,https://down-id.img.susercontent.com/file/id-11134201-7rasc-m280bgdj1drtcb_tn.webp,Madu Uray Grade A+ 875gr Royal Jelly & Bee Pollen,142.400,-15%,4.9,KOTA SURABAYA,"Madu favorit Anda, minuman kesehatan alami sekaligus obat herbal Madu Uray Grade A+ Natural Honey 875gr, kini hadir dengan kemasan baru berlogo Uray emboss, hologram batik Kalimantan, dan perlindungan anti-pemalsuan ganda SECQURE, serta kualitas yang lebih baik dengan penambahan Royal Jelly dan Bee Pollen, namun tetap dengan harga yang sama. Suplemen kesehatan ini cocok dikonsumsi 1-2 sendok makan saat perut kosong, pagi dan siang, sebagai penyempurna asupan vitamin, mineral, dan enzim harian, dan seluruh produk Madu Uray diuji berkala sesuai parameter SNI. Perlu diperhatikan bahwa produk lebah ini dan produk lebah lainnya tidak boleh diberikan kepada bayi di bawah 12 bulan"
https://shopee.co.id/Kurma-Sukari-King-Dates-Sukkari-1-Kg-Lembut-Manis-Legit-Premium-Original-High-Quality-i.138827180.10679037471,https://down-id.img.susercontent.com/file/id-11134207-7r98p-lqva2zc19ty1fb_tn.webp,Kurma Sukari King Dates Sukkari 1 Kg Lembut Manis Legit Premium Original High Quality,59.000,-31%,4.8,KOTA BOGOR,"Makanan ringan sehat buah Kurma Sukkari Al Qassim dengan kemasan ember baru 1KG yang lebih kokoh, menjaga kualitas dan tahan lama, serta mudah dibawa. Kurma yang juga dikenal sebagai Kurma Raja dan diproduksi di provinsi Al-Qasiim ini memiliki banyak manfaat, diantaranya membantu mengurangi tekanan darah, meningkatkan sistem kekebalan tubuh, mengeluarkan racun dalam organ pencernaan, mengendalikan gula darah, menurunkan kolesterol, bahkan mencegah kanker usus, serta kandungan gula alaminya aman bagi penderita diabetes dan membantu pertumbuhan tulang. Camilan manis alami ini sangat baik untuk dikonsumsi sehari-hari"
https://shopee.co.id/Dari-Bumi-Madu-Murni-Akasia-650-Gr-Raw-Honey-Asli-i.287955161.9890063067,https://down-id.img.susercontent.com/file/id-11134207-7rash-m5wd1gviswrsca_tn.webp,Dari Bumi Madu Murni Akasia 650 Gr Raw Honey Asli,57.900,-50%,4.9,KOTA JAKARTA BARAT,"Minuman kesehatan alami madu murni Akasia Dari Bumi 650 Gr (obat herbal alami) yang diambil dari nektar bunga Acacia mangium dan dipanen dari sarang lebah jenis Apis mellifera di Madura. Diproses secara higienis tanpa tambahan bahan perasa dan pengawet. Madu Akasia ini adalah salah satu superfood terbaik dengan kandungan antioksidan tinggi, antibakteri, mendukung program diet dan kesehatan kulit, serta mencegah penyakit kronis. Dapat dikonsumsi langsung atau dicampur ke makanan dan minuman favorit. Berat Bersih: 650 g, Masa Simpan: 24 bulan. Ayo buat video unboxing paketmu untuk memudahkan klaim komplain"
https://shopee.co.id/CAP-IBU-Bumbu-Nasi-Goreng-Kecap-i.35326436.573589765,https://down-id.img.susercontent.com/file/id-11134207-7r98x-lq4kxkmq9x5q86_tn.webp,CAP IBU Bumbu Nasi Goreng Kecap,38.000,-5%,4.9,KOTA JAKARTA TIMUR,"Bumbu masakan instan Bumbu Nasi Goreng Kecap Cap Ibu netto 210g (untuk 5 porsi). Terbuat dari komposisi cabai, bawang merah, kecap manis, bawang putih, minyak kelapa sawit, garam, kemiri, penguat rasa mononatrium glutamat, rempah-rempah, terasi udang, pengawet (kalium sorbat, natrium benzoat), pengatur keasaman asam sitrat. Cara memasak: panaskan minyak, orak-arik telur dan bahan lain, masukkan nasi dan bumbu, aduk rata, masak hingga matang. Nikmati bumbu praktis untuk makanan nasi goreng lezat"
https://shopee.co.id/Pronas-Luncheon-Sapi-(Daging-Blok-Serbaguna)-340-gr-i.262869574.7834446724,https://down-id.img.susercontent.com/file/id-11134207-7r98r-lpq083pwgeofb1_tn.webp,Pronas Luncheon Sapi (Daging Blok Serbaguna) 340 gr,44.400,-15%,4.9,KOTA BEKASI,"Pronas Luncheon Sapi (Daging Blok Serbaguna) 340 g adalah produk daging olahan serbaguna yang terbuat dari 100% daging sapi terpilih. Praktis, bergizi, dan halal, cocok untuk sarapan pagi atau sebagai snack. Dikemas dalam kaleng EOE (easy open end) yang mudah dibuka. Setelah dibuka, simpan dalam wadah kedap udara di lemari es. Komposisi: air, daging sapi, minyak kelapa sawit, pati jagung (mengandung pengawet sulfit), protein kedelai, bumbu-bumbu (mengandung penguat rasa msg dan antioksidan asam askorbat, lada), garam, penguat rasa (msg, inositat, guanilat), karagenan, fosfat. Nikmati lauk praktis dan lezat ini"
https://shopee.co.id/TWG-Happy-Birthday-Tea-(Gift-Sets)-Teh-TWG-i.105134374.4904405209,https://down-id.img.susercontent.com/file/sg-11134201-23020-se2f9tktz2mvd4_tn.webp,TWG Happy Birthday Tea (Gift Sets) - Teh TWG,800.000,,5.0,KOTA JAKARTA SELATAN,"TWG - Happy Birthday Tea (Gift Sets) adalah minuman teh berkelas dari TWG, termasuk dalam kategori teh hitam dan exclusive tea blends dengan berat bersih 100g. Racikan teh hitam lembut ini diproses khusus dengan perpaduan rasa manis buah beri merah dan sentuhan vanilla, menciptakan rasa nikmat yang membangkitkan bahagia. TWG, merek teh mewah asal Singapura yang hadir sejak 2008, berdedikasi menciptakan racikan teh terbaik dari perkebunan berkualitas tinggi. Happy Birthday Tea sangat cocok sebagai hadiah atau untuk minuman jamuan teh di rumah maupun komersial. Nikmati pengalaman seduh teh mewah ini dengan teko atau saringan teh"
https://shopee.co.id/Diamond-Milk-UHT-Full-Cream-1-Liter-Susu-i.381813277.10201508979,https://down-id.img.susercontent.com/file/id-11134201-7r98r-lpuix425jsha80_tn.webp,Diamond Milk UHT Full Cream 1 Liter - Susu,19.990,-22%,4.9,KOTA PONTIANAK,"Susu UHT Diamond adalah minuman susu yang dibuat dengan susu sapi segar, diproses dengan teknologi UHT, dan dikemas secara aseptis dalam kemasan kedap udara, sehingga mutu dan kandungan gizinya tetap terjaga. Produk susu UHT ini cocok sebagai minuman sehari-hari untuk keluarga"
https://shopee.co.id/-Bundle-Pack-Isi-3-Nabati-Wafer-Pink-Lava-122g-i.64601228.25034615877,https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m941cm3oq77x81_tn.webp,[Bundle Pack Isi 3] Nabati Wafer Pink Lava 122g,17.889,-33%,5.0,KOTA JAKARTA TIMUR,"Nabati Wafer Pink Lava 122g (isi 3 pcs) adalah makanan ringan berupa wafer renyah dengan krim Pink Lava yang manis dan unik. Camilan manis ini sangat cocok bagi Anda yang menyukai rasa manis yang berbeda. Nikmati Nabati Wafer Pink Lava sebagai teman setia saat bekerja, bersantai, atau sebagai sajian istimewa dalam acara kumpul bersama teman-teman. Kemasannya yang praktis cocok untuk menemani Anda di segala suasana"
https://shopee.co.id/Sedaap-Mie-Instan-Cup-Soto-81-gr-i.64474495.6930120745,https://down-id.img.susercontent.com/file/e2f947eb63a7e354608eed6ea8286d04_tn.webp,Sedaap Mie Instan Cup Soto 81 gr,5.000,-57%,4.9,KOTA SEMARANG,"Mie Instant kuah dalam kemasan Cup yang Praktis dan Nikmat adalah kategori makanan instan, khususnya mie instan kuah. Dengan mie yang kenyal, tidak gampang mengembang dan topping komplit, makanan siap saji ini cocok dimakan kapan saja dan di mana saja. Sedaapnya Makin Juara! Cara penyajian: buka tutup, tuang bumbu dan bahan lain, tuangkan 350 ml air panas, tutup dan tunggu 4 menit, tuang bubuk koya dan siap dinikmati. Isi kemasan: 81 Gr. Keunggulannya adalah mie kenyal, tidak gampang mengembang, dilengkapi dengan serbuk KOYA GURIH yang berpadu dengan AROMA JERUK LIMAU yang segar. Rasa Sotonya Juara"
https://shopee.co.id/Curcuma-Plus-Susu-Bubuk-Ekstrak-Temulawak-Coklat-350gr-i.161143541.7304772141,https://down-id.img.susercontent.com/file/id-11134207-7r98t-ltqigbyktg6235_tn.webp,Curcuma Plus Susu Bubuk Ekstrak Temulawak Coklat 350gr,74.184,-5%,4.9,KOTA SURABAYA,"Susu Curcuma Plus adalah minuman susu bubuk pertumbuhan untuk anak usia 1-6 tahun. Sebagai nutrisi anak, susu ini mengandung nutrisi lengkap untuk mendukung tumbuh kembang anak, daya tahan tubuh, dan nafsu makan. Dilengkapi dengan Curcunutri (ekstrak temulawak organik), minyak ikan (DHA), multivitamin, dan mineral. Kandungan utamanya adalah susu full cream New Zealand, ekstrak temulawak organik, minyak ikan, protein, karbohidrat, lemak, inulin & FOS, 11 vitamin, 6 mineral, dan kolin. Keunggulannya mengandung bahan alami organik, termasuk temulawak organik bersertifikat, serta kombinasi susu New Zealand lezat dan zat gizi penting. Saran penyajian: campurkan 4 sendok makan (35 gr) ke dalam 1 gelas (180 ml) air hangat, konsumsi minimal 2 gelas sehari. Tersedia dalam varian rasa Madu, Vanilla, Coklat, dan Strawberry. Produk ini termasuk kategori susu pertumbuhan dan suplemen anak"
